Team,Symbol,Long Shares,Long Price,Short Shares,Short Price,Borrowed Balance,P&L,Updated P&L
winwin,DWDP,0,0,0,0,0,989,989
winwin,AXP,0,0,0,0,0,160,160
winwin,CSCO,0,0,0,0,0,752,752
winwin,DIS,0,0,0,0,0,126,126
winwin,JPM,0,0,0,0,0,-312,-312
winwin,PFE,0,0,0,0,0,-234,-234
winwin,PG,0,0,0,0,0,-140,-140
winwin,V,0,0,0,0,0,-186,-186
winwin,AAPL,0,0,0,0,0,304,304
winwin,CVX,0,0,0,0,0,-251,-251
winwin,BA,0,0,0,0,0,259,259
winwin,WMT,0,0,0,0,0,-4,-4
winwin,MCD,0,0,0,0,0,121,121
winwin,VZ,0,0,0,0,0,12,12
winwin,XOM,0,0,0,0,0,-285,-285
winwin,MRK,0,0,0,0,0,100,100
winwin,GS,0,0,0,0,0,-400,-400
winwin,CAT,0,0,0,0,0,135,135
winwin,KO,0,0,0,0,0,-24,-24
winwin,JNJ,0,0,0,0,0,-262,-262
winwin,HD,0,0,0,0,0,-325,-325
winwin,MSFT,0,0,0,0,0,-337,-337
winwin,INTC,0,0,0,0,0,-448,-448
winwin,WBA,0,0,0,0,0,76,76
winwin,MMM,0,0,0,0,0,105,105
winwin,TRV,0,0,0,0,0,160,160
winwin,NKE,0,0,0,0,0,405,405
winwin,IBM,0,0,0,0,0.01,-24431,-24431
winwin,UTX,0,0,0,0,0,-4,-4
winwin,UNH,0,0,0,0,0,-292,-292
